base_score,[482.00681729]
age,Score
"(-inf, 36.0]",-4.120930189927335
"(36.0, 54.0]",-2.2006266016502782
"(54.0, 61.0]",1.944910910801941
"(61.0, 74.0]",7.966188561358156
"(74.0, inf]",13.474786113837038
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",47.53385569781667
"(0.099, 0.298]",14.453276683994867
"(0.298, 0.465]",-2.699119007456223
"(0.465, 0.982]",-23.205417351963966
"(0.982, 1.0]",-10.336019882864228
"(1.0, inf]",-43.97025056363669
DebtRatio,Score
"(-inf, 0.0175]",33.32089716525282
"(0.0175, 0.402]",0.7705956107170197
"(0.402, 1.471]",-8.487499939174013
"(1.471, inf]",3.8428169055836428
MonthlyIncome,Score
"(-inf, 0.1]",18.893542288627646
"(0.1, 6171.962]",-3.0525578506948388
"(6171.962, inf]",3.754185320629703
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.155910679900477
"(1.0, 3.0]",-2.7879825028581817
"(3.0, 5.0]",-0.4689372634914989
"(5.0, 17.0]",1.0482619236625228
"(17.0, inf]",3.9286486897855397
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.533194254968341
"(0.0, 1.0]",-13.720000734518516
"(1.0, 2.0]",-21.612034486976466
"(2.0, inf]",-24.27082150570606
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8653344781706886
"(0.0, 1.0]",-28.78044957917633
"(1.0, 2.0]",-37.09746549766416
"(2.0, inf]",-39.5231454679704
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.718304203440123
"(0.0, 1.0]",5.355722374708958
"(1.0, 2.0]",16.74875858440857
"(2.0, 4.0]",10.553956602168217
"(4.0, inf]",-8.006525674624527
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.0117369299863546
"(0.0, 1.0]",-11.25430829895623
"(1.0, 2.0]",-14.353968758857656
"(2.0, inf]",-14.75213845075401
NumberOfDependents,Score
"(-inf, 0.0]",14.485575744513824
"(0.0, 1.0]",-13.437978106910826
"(1.0, 2.0]",-12.254523865945314
"(2.0, inf]",-10.973925734154463
